                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1758,                  1.567,                 1.3145,                0.45954,                  0.385,                0.36841,                0.23737,                 1.2996,                 1.7981,                 1.3906,              0.0033122,              0.0033122,              0.0033122
                      2,                 1.1447,                 1.4711,                 1.2859,                0.44238,                0.37495,                0.34132,                0.20814,                 1.3778,                 1.9037,                 1.4704,              0.0066268,              0.0066268,              0.0066268
                      3,                 1.2869,                 1.6854,                 1.3745,                0.37776,                0.34743,                0.30021,                0.18124,                 1.5478,                 1.9549,                 1.5687,              0.0099225,              0.0099225,              0.0099225
                      4,                 1.3637,                 1.7528,                 1.4361,                0.38671,                0.35477,                0.30243,                 0.1771,                 1.4858,                 2.5452,                  1.539,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.3612,                 1.7274,                 1.4525,                0.35132,                0.35987,                0.27812,                0.16847,                 1.4869,                 2.2018,                 1.5639,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.3662,                 1.7287,                 1.4421,                0.38159,                0.35526,                0.29871,                0.17882,                 1.5267,                 1.9353,                 1.5424,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.3564,                 1.6809,                 1.4315,                0.36308,                0.42731,                0.31846,                0.18997,                 1.4105,                 2.0901,                 1.4913,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.3312,                 1.6636,                 1.4199,                0.38056,                0.37076,                0.32786,                 0.2013,                 1.4465,                 1.9111,                 1.4996,               0.009802,               0.009802,               0.009802
                      9,                 1.3236,                 1.6188,                 1.4236,                 0.4005,                0.42815,                0.34647,                0.21395,                 1.3859,                 1.7977,                  1.472,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3135,                 1.5962,                 1.4208,                0.43724,                0.40008,                0.37597,                0.24558,                 1.3545,                 1.7048,                 1.4353,              0.0097454,              0.0097454,              0.0097454
                     11,                  1.273,                 1.5688,                 1.3831,                0.38984,                0.41864,                0.35081,                0.21784,                 1.4009,                 1.8828,                 1.4845,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.2856,                 1.5434,                 1.3905,                0.39332,                0.38835,                0.34949,                0.22375,                 1.3641,                 1.8292,                 1.4442,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.2942,                 1.5623,                 1.3946,                 0.4613,                0.38744,                0.36675,                0.23017,                 1.3496,                 1.7547,                 1.4475,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.2752,                 1.5185,                 1.3958,                0.38969,                0.42145,                0.33715,                0.20821,                 1.3778,                 1.8507,                 1.4751,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.2703,                  1.504,                 1.3764,                0.47632,                0.39464,                0.39945,                0.25322,                 1.3505,                 1.6356,                 1.4501,               0.009604,               0.009604,               0.009604
                     16,                 1.2575,                  1.488,                 1.3708,                0.42294,                0.39548,                0.37249,                0.24258,                 1.3114,                 1.6443,                 1.4296,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.2396,                 1.4885,                 1.3661,                0.44355,                0.42019,                0.38562,                0.23599,                 1.3422,                 1.7455,                 1.4392,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.2496,                 1.4539,                   1.37,                 0.4543,                0.42027,                0.40137,                0.25602,                 1.3108,                 1.6124,                 1.4105,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.2286,                 1.4366,                 1.3598,                0.40817,                0.45161,                0.37716,                0.24315,                 1.3229,                  1.717,                 1.4247,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.2571,                 1.4443,                 1.3544,                0.43403,                0.41852,                0.38651,                0.24913,                 1.3182,                 1.6154,                 1.4243,              0.0094626,              0.0094626,              0.0094626
                     21,                 1.2112,                 1.4109,                 1.3293,                0.43525,                0.44156,                0.41087,                0.26375,                 1.3007,                 1.6371,                 1.3918,              0.0094343,              0.0094343,              0.0094343
                     22,                 1.2315,                 1.4086,                 1.3431,                0.46789,                0.44072,                0.41808,                0.26866,                 1.3165,                 1.5678,                 1.4032,               0.009406,               0.009406,               0.009406
                     23,                 1.1929,                 1.4021,                  1.326,                0.48314,                0.43569,                 0.4132,                0.26553,                 1.3063,                 1.5826,                  1.407,              0.0093777,              0.0093777,              0.0093777
                     24,                 1.2247,                 1.3789,                 1.3377,                0.46061,                0.43234,                 0.4063,                0.25528,                  1.322,                 1.6912,                 1.3994,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.2046,                 1.3825,                  1.338,                0.48246,                0.45915,                0.43813,                0.28406,                 1.3069,                 1.5488,                 1.3814,              0.0093211,              0.0093211,              0.0093211
                     26,                 1.2038,                 1.3929,                 1.3314,                0.47848,                0.43778,                0.42403,                0.27299,                 1.3038,                 1.5469,                 1.3803,              0.0092929,              0.0092929,              0.0092929
                     27,                 1.2106,                 1.3807,                 1.3366,                0.46064,                0.45153,                0.42187,                 0.2755,                 1.2996,                 1.5068,                 1.3858,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.1889,                 1.3466,                 1.3181,                 0.4737,                0.44491,                0.42904,                0.27643,                 1.2905,                 1.5882,                 1.3932,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.1817,                 1.3254,                 1.3062,                0.49759,                0.45622,                0.44365,                0.29043,                 1.2719,                 1.5083,                 1.3817,               0.009208,               0.009208,               0.009208
                     30,                 1.1658,                 1.3204,                 1.3082,                0.45244,                0.46292,                0.41162,                0.26042,                 1.2937,                 1.6628,                 1.3753,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.1766,                 1.3146,                 1.3093,                0.48822,                 0.4336,                 0.4239,                 0.2721,                 1.3022,                  1.509,                 1.3856,              0.0091514,              0.0091514,              0.0091514
                     32,                 1.1608,                  1.312,                 1.2969,                0.47125,                0.42396,                0.40993,                0.26679,                 1.2845,                 1.5548,                 1.3857,              0.0091231,              0.0091231,              0.0091231
                     33,                 1.1575,                 1.3076,                 1.3048,                 0.4652,                0.46795,                0.42856,                 0.2778,                 1.2676,                 1.5789,                 1.3768,              0.0090949,              0.0090949,              0.0090949
                     34,                 1.1587,                 1.2893,                 1.3047,                0.46611,                0.45536,                0.43096,                0.28402,                 1.2723,                 1.5017,                 1.3757,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.1423,                 1.2895,                 1.2962,                0.48908,                0.45596,                0.43517,                0.28214,                 1.2787,                 1.6069,                 1.3781,              0.0090383,              0.0090383,              0.0090383
                     36,                 1.1517,                 1.2529,                 1.2941,                0.46965,                  0.463,                0.43644,                0.28747,                 1.2758,                 1.4964,                  1.375,                0.00901,                0.00901,                0.00901
                     37,                 1.1572,                 1.2609,                 1.3039,                0.47123,                0.45511,                0.42976,                0.27405,                 1.2736,                 1.5274,                  1.392,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.1562,                 1.2467,                 1.2998,                0.45227,                0.45832,                0.42015,                0.27311,                 1.2732,                 1.5377,                 1.3632,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.1532,                 1.2601,                 1.2961,                0.44776,                0.44156,                 0.4243,                0.28602,                 1.2778,                 1.5507,                 1.3872,              0.0089251,              0.0089251,              0.0089251
                     40,                  1.157,                 1.2455,                  1.292,                0.45577,                0.46544,                0.41219,                0.26373,                 1.2585,                 1.5018,                 1.3642,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.1303,                 1.2228,                 1.2739,                0.51985,                  0.447,                0.45368,                 0.2956,                 1.2642,                 1.4388,                 1.3593,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.1311,                 1.2092,                 1.2729,                0.49942,                0.43192,                0.43144,                0.28097,                 1.2737,                 1.4902,                 1.3828,              0.0088403,              0.0088403,              0.0088403
                     43,                 1.1318,                 1.2273,                  1.276,                0.46558,                0.46461,                0.43489,                0.28082,                 1.2834,                 1.4841,                 1.3807,               0.008812,               0.008812,               0.008812
                     44,                 1.1412,                 1.2229,                 1.2769,                0.49388,                0.44323,                 0.4466,                 0.2928,                 1.2527,                 1.4668,                 1.3553,              0.0087837,              0.0087837,              0.0087837
                     45,                 1.1216,                 1.1948,                 1.2669,                0.50093,                 0.4336,                0.43106,                0.28257,                 1.2723,                 1.5151,                 1.3783,              0.0087554,              0.0087554,              0.0087554
                     46,                 1.1233,                 1.1897,                 1.2728,                0.49763,                0.46125,                0.45164,                0.29454,                 1.2678,                 1.4521,                 1.3634,              0.0087271,              0.0087271,              0.0087271
                     47,                  1.103,                 1.1624,                 1.2551,                0.51218,                0.43067,                0.43983,                0.28293,                 1.2599,                 1.4979,                 1.3867,              0.0086989,              0.0086989,              0.0086989
                     48,                 1.1258,                  1.179,                  1.279,                0.47194,                 0.4801,                0.43982,                0.28574,                 1.2538,                 1.4717,                 1.3612,              0.0086706,              0.0086706,              0.0086706
                     49,                 1.1075,                  1.165,                 1.2688,                0.49975,                0.46628,                0.43992,                0.28653,                 1.2577,                 1.4679,                 1.3723,              0.0086423,              0.0086423,              0.0086423
                     50,                 1.1253,                  1.166,                 1.2744,                0.50233,                0.44407,                0.44283,                  0.283,                 1.2677,                 1.4927,                 1.3503,               0.008614,               0.008614,               0.008614
                     51,                 1.1109,                  1.156,                 1.2631,                0.51155,                0.46083,                0.45694,                0.29845,                 1.2527,                 1.4935,                 1.3562,              0.0085857,              0.0085857,              0.0085857
                     52,                  1.118,                 1.1562,                 1.2507,                0.50352,                0.45957,                0.45804,                0.29971,                 1.2523,                 1.4429,                 1.3611,              0.0085574,              0.0085574,              0.0085574
                     53,                 1.1057,                 1.1347,                 1.2499,                0.46682,                0.48178,                0.43807,                0.28464,                 1.2734,                 1.4695,                 1.3854,              0.0085291,              0.0085291,              0.0085291
                     54,                 1.1025,                  1.127,                 1.2494,                0.45713,                0.45748,                0.43632,                0.28927,                 1.2681,                  1.494,                 1.3611,              0.0085009,              0.0085009,              0.0085009
                     55,                  1.096,                 1.1217,                 1.2494,                0.48709,                0.45119,                0.43617,                0.28545,                 1.2493,                 1.4679,                 1.3568,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.0948,                  1.119,                  1.252,                0.45762,                0.47382,                0.43778,                0.28615,                 1.2617,                 1.4748,                  1.362,              0.0084443,              0.0084443,              0.0084443
