                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0357,                 1.1187,                  1.197,                0.54278,                0.49568,                0.48724,                0.33702,                 1.2316,                 1.6007,                 1.3236,             0.00023649,             0.00023649,             0.00023649
                      2,                 1.0529,                 1.1646,                 1.2114,                0.48627,                0.41594,                0.41855,                0.28603,                 1.2548,                 1.7418,                 1.3288,              0.0004698,              0.0004698,              0.0004698
                      3,                 1.0745,                 1.2296,                 1.2235,                0.44169,                0.45545,                0.42056,                0.28825,                 1.2557,                 1.7418,                 1.3522,             0.00069839,             0.00069839,             0.00069839
                      4,                  1.098,                 1.3042,                 1.2429,                0.46921,                0.43739,                0.39991,                0.26414,                 1.2875,                 1.7862,                 1.3672,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.0715,                 1.2977,                 1.2261,                0.49815,                 0.4393,                0.42828,                0.28541,                 1.2804,                 1.7653,                 1.3603,             0.00068573,             0.00068573,             0.00068573
                      6,                  1.086,                 1.2719,                 1.2299,                0.49612,                0.45481,                0.43072,                0.29403,                  1.282,                 1.8515,                 1.3623,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0926,                 1.2865,                 1.2303,                0.52725,                0.44622,                 0.4366,                 0.2874,                 1.2788,                 1.8013,                 1.3426,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0772,                 1.2578,                 1.2197,                0.53239,                0.45897,                0.45754,                0.30771,                 1.2763,                 1.7112,                 1.3674,             0.00066452,             0.00066452,             0.00066452
                      9,                  1.091,                 1.2431,                  1.232,                0.49576,                0.46117,                0.42145,                0.28203,                 1.2775,                 1.8715,                 1.3681,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0794,                 1.1957,                 1.2249,                0.52748,                0.47882,                0.47847,                0.32111,                 1.2435,                 1.6195,                 1.3435,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0369,                 1.2033,                 1.2021,                0.48768,                0.49288,                0.44124,                0.28986,                 1.2723,                 1.6772,                 1.3671,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0582,                 1.1748,                  1.214,                0.54131,                0.41947,                0.44746,                0.30726,                 1.2477,                 1.6618,                 1.3386,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0726,                 1.1867,                 1.2179,                0.54826,                0.41868,                0.45544,                0.30858,                 1.2544,                 1.6879,                 1.3526,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0633,                 1.1514,                 1.2222,                0.50691,                 0.4265,                0.41928,                0.28661,                 1.2613,                 1.8059,                  1.348,             0.00062211,             0.00062211,             0.00062211
