                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2128,                 3.3004,                 1.3464,                0.31273,                0.31014,                0.21212,                  0.135,                 1.2997,                 3.0381,                  1.376,             0.00023649,             0.00023649,             0.00023649
                      2,                 1.2776,                 2.5295,                 1.3767,                0.31121,                0.26655,                 0.1783,                0.10497,                 1.3269,                 3.1657,                 1.4016,              0.0004698,              0.0004698,              0.0004698
                      3,                 1.2826,                 2.4355,                 1.3802,                0.30073,                  0.332,                0.22242,                0.13713,                 1.3652,                 2.7287,                 1.4248,             0.00069839,             0.00069839,             0.00069839
                      4,                  1.294,                 2.3393,                  1.376,                 0.3148,                0.29924,                0.22975,                0.14268,                 1.4143,                  2.951,                 1.4766,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.2557,                 2.2525,                 1.3626,                0.41175,                0.36086,                0.29317,                0.17951,                 1.3574,                 2.4246,                 1.4462,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.2689,                 2.1404,                 1.3655,                0.43908,                0.31289,                0.30947,                0.20106,                 1.3297,                  2.338,                 1.3987,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2546,                 2.0491,                 1.3511,                0.32321,                0.33048,                0.25653,                0.16243,                 1.3376,                 2.5182,                 1.4266,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.2336,                 1.9917,                 1.3331,                0.42792,                0.36697,                0.31658,                0.20431,                 1.3575,                 2.3074,                 1.4178,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.2485,                 1.9435,                 1.3455,                0.41895,                0.40308,                0.35354,                0.23349,                 1.3187,                 2.2652,                 1.3782,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2319,                 1.8247,                 1.3313,                 0.4517,                0.40022,                0.37044,                0.24437,                 1.3056,                 2.0933,                 1.3852,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1776,                 1.8172,                 1.3023,                0.43614,                0.39349,                0.37473,                0.24051,                 1.3118,                 1.9963,                 1.3736,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1914,                 1.7648,                 1.3058,                0.50766,                0.38048,                0.39622,                0.26117,                 1.2835,                 1.9678,                 1.3738,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.2068,                 1.7355,                 1.3083,                0.48202,                0.40304,                0.39997,                0.26354,                 1.2933,                 1.9801,                  1.373,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1943,                 1.6894,                  1.315,                0.45054,                0.40645,                0.36757,                0.24817,                 1.2987,                 2.1122,                 1.3707,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1803,                 1.6627,                 1.2984,                0.42736,                0.41624,                0.36586,                0.24236,                 1.3188,                 2.0772,                 1.3838,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.1729,                 1.5996,                 1.2916,                0.48909,                0.40912,                0.39292,                0.26247,                 1.2934,                 1.9069,                  1.382,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.1446,                 1.5966,                 1.2851,                0.44099,                0.46438,                0.41691,                0.28329,                 1.2536,                 1.7742,                 1.3475,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1632,                 1.5414,                 1.2876,                 0.4739,                0.45695,                0.42662,                0.29445,                 1.2414,                 1.7596,                 1.3383,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.1418,                  1.501,                 1.2813,                0.46201,                0.42366,                0.41237,                0.28715,                 1.2315,                 1.8607,                 1.3293,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.1691,                 1.5165,                 1.2768,                0.48039,                0.45768,                0.43089,                0.29855,                 1.2488,                 1.8119,                 1.3473,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.1202,                 1.4571,                 1.2621,                0.49327,                0.42913,                0.42486,                 0.2848,                 1.2614,                 1.9389,                 1.3474,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.1457,                  1.464,                 1.2659,                0.48543,                0.43846,                0.42313,                0.28613,                 1.2758,                 1.8524,                 1.3407,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.1093,                 1.4399,                 1.2601,                0.48966,                0.44643,                0.44089,                0.30224,                 1.2457,                 1.7252,                 1.3296,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.1374,                 1.4054,                 1.2631,                0.47727,                0.46758,                0.42972,                0.29248,                 1.2433,                 1.8613,                 1.3301,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.1088,                 1.4004,                 1.2542,                0.45954,                0.47942,                 0.4302,                0.29504,                 1.2677,                 1.7693,                 1.3473,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.1133,                 1.4184,                 1.2545,                0.50818,                0.43167,                0.43157,                0.29514,                 1.2471,                 1.7423,                 1.3356,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.1149,                 1.3746,                 1.2544,                0.54444,                0.44041,                0.45141,                0.30138,                 1.2595,                 1.6618,                 1.3319,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.0941,                 1.3239,                 1.2394,                0.50517,                0.46133,                0.44108,                0.30748,                 1.2377,                 1.6925,                  1.336,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0958,                 1.2955,                 1.2297,                0.45824,                0.48913,                0.44086,                0.30414,                 1.2426,                  1.721,                 1.3433,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.0757,                 1.3063,                 1.2302,                0.53344,                0.44336,                 0.4509,                0.30612,                 1.2443,                 1.8024,                 1.3319,             0.00050901,             0.00050901,             0.00050901
                     31,                  1.084,                 1.2747,                 1.2317,                0.51911,                0.45969,                0.45107,                0.30603,                 1.2654,                 1.6922,                 1.3306,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.0749,                  1.254,                 1.2217,                0.52907,                0.42718,                0.45442,                0.31237,                 1.2523,                   1.68,                  1.334,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0646,                 1.2701,                 1.2264,                 0.4933,                0.45618,                0.45256,                0.31385,                 1.2402,                 1.6214,                 1.3275,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.0684,                 1.2297,                 1.2249,                0.52344,                0.45462,                0.46314,                0.32248,                 1.2242,                 1.6477,                 1.3193,             0.00048074,             0.00048074,             0.00048074
