                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9168,                0.78611,                 1.1109,                0.44573,                0.39089,                0.35834,                0.24471,                 1.3486,                 2.3915,                 1.4558,              0.0033122,              0.0033122,              0.0033122
                      2,                0.94985,                0.84658,                 1.1314,                 0.4851,                0.43362,                0.41026,                0.27624,                 1.3227,                 1.9655,                 1.4048,              0.0066291,              0.0066291,              0.0066291
                      3,                 1.0003,                0.99568,                 1.1603,                0.40638,                0.34428,                0.31079,                0.20398,                 1.4071,                 2.1319,                 1.4842,              0.0099295,              0.0099295,              0.0099295
                      4,                 1.0723,                 1.1493,                 1.2111,                0.47059,                0.37529,                0.35994,                0.23718,                 1.3573,                 2.1217,                 1.4523,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.0717,                 1.1938,                  1.209,                0.30817,                0.31116,                0.24077,                0.16087,                  1.379,                 2.4041,                 1.4631,               0.009901,               0.009901,               0.009901
                      6,                  1.092,                 1.2165,                 1.2208,                0.46087,                0.36443,                 0.3406,                0.23488,                 1.3464,                 2.0877,                 1.4325,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.0941,                 1.2037,                 1.2132,                 0.4209,                0.38042,                0.33061,                0.21996,                  1.337,                 2.0705,                 1.4149,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.0884,                 1.1692,                 1.2096,                0.46727,                 0.4306,                0.38644,                0.25608,                 1.3719,                 1.8981,                 1.4018,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.0929,                 1.1536,                 1.2157,                 0.4316,                0.29801,                0.28864,                 0.1945,                 1.3874,                 2.2755,                 1.4806,               0.009802,               0.009802,               0.009802
                     10,                 1.0917,                 1.1553,                  1.213,                0.41801,                 0.3432,                0.32531,                0.22136,                 1.3454,                  2.266,                 1.4304,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.0612,                 1.1437,                 1.1979,                0.52279,                0.43292,                0.42084,                0.28338,                 1.2915,                  1.824,                 1.3583,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.0756,                 1.1308,                 1.2049,                  0.473,                0.43836,                0.40005,                0.27489,                 1.3097,                 1.8611,                 1.3868,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.0858,                 1.1562,                 1.2044,                0.46204,                0.40347,                0.38522,                0.25786,                 1.3343,                 1.8449,                 1.3835,               0.009703,               0.009703,               0.009703
                     14,                 1.0808,                 1.1139,                 1.2136,                0.50165,                0.38821,                0.38903,                0.26516,                 1.3036,                 1.8563,                 1.3948,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.0685,                 1.1145,                  1.193,                 0.4849,                0.42193,                0.40738,                0.27424,                 1.3269,                 1.7728,                 1.3826,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.0641,                 1.1064,                 1.1984,                0.53279,                0.39212,                0.40039,                0.27246,                 1.3218,                 1.9411,                 1.4196,              0.0096288,              0.0096288,              0.0096288
                     17,                  1.053,                 1.1223,                 1.1947,                 0.4819,                0.45061,                0.41691,                0.28454,                 1.2952,                 1.7872,                 1.3786,               0.009604,               0.009604,               0.009604
                     18,                  1.066,                 1.0878,                 1.2008,                0.50535,                0.42503,                0.39973,                0.26449,                 1.2901,                 1.7994,                 1.3769,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.0493,                 1.0754,                  1.191,                0.47862,                0.46045,                0.41168,                 0.2805,                 1.3077,                 1.7762,                 1.3695,              0.0095545,              0.0095545,              0.0095545
                     20,                 1.0816,                 1.0634,                  1.193,                0.51439,                0.40216,                0.39375,                0.27162,                 1.3011,                 1.9256,                 1.3679,              0.0095298,              0.0095298,              0.0095298
                     21,                 1.0457,                 1.0492,                 1.1833,                 0.5048,                0.41391,                0.41674,                0.28742,                 1.2785,                 1.7277,                 1.3661,               0.009505,               0.009505,               0.009505
